"CENTRO","FECHA","PRED","PRED_1","PRED_2","PRED_3","PRED_4","PRED_5","PRED_6","PRED_7","PRED_8"
GENERAL,2023-12-28 00:00:00.000,3321,2822,1076,123,3339,3460,3897,3467,3244
GENERAL,2024-01-04 00:00:00.000,3708,3684,1754,832,4138,3980,3552,3672,3430
GENERAL,2024-01-11 00:00:00.000,3414,3256,1342,138,3177,3598,3521,3103,3171
GENERAL,2024-01-18 00:00:00.000,3543,3382,1503,550,3572,3744,3789,3714,3141
GENERAL,2024-01-25 00:00:00.000,3282,3204,1309,622,3436,3717,3802,3826,3558
GENERAL,2024-02-01 00:00:00.000,3306,3086,1416,361,3632,3680,3852,3511,3329
GENERAL,2024-02-08 00:00:00.000,4040,3870,1696,488,4048,4242,4090,4118,3813
GENERAL,2024-02-15 00:00:00.000,3220,3335,1652,171,3799,3862,3749,3955,3767
GENERAL,2024-02-22 00:00:00.000,3904,3825,1646,707,4694,5152,5346,5322,4791
GENERAL,2024-02-29 00:00:00.000,3055,2777,996,319,3109,3099,3330,3138,2907
GENERAL,2024-03-07 00:00:00.000,4566,4098,1990,833,4404,4349,4318,4449,4175
GENERAL,2024-03-14 00:00:00.000,3764,3228,1482,199,3323,3099,3304,3276,2754
GENERAL,2024-03-21 00:00:00.000,4004,3972,1650,572,3627,3856,3990,3553,3162
GENERAL,2024-03-28 00:00:00.000,3786,3470,1242,443,3736,3880,3928,3556,3188
GENERAL,2024-04-04 00:00:00.000,3366,3615,1556,763,3624,3716,3422,3849,3923
GENERAL,2024-04-11 00:00:00.000,4725,4658,2075,703,4895,4691,4439,4677,4521
GENERAL,2024-04-18 00:00:00.000,3493,3205,1240,371,3496,3595,3513,3289,2679
GENERAL,2024-04-25 00:00:00.000,3553,3632,1562,535,3829,3937,3883,3669,3547
GENERAL,2024-05-02 00:00:00.000,3094,3067,1036,260,3398,3412,3436,3182,2709
GENERAL,2024-05-09 00:00:00.000,4763,4833,2126,778,4783,4947,4841,4981,4759
GENERAL,2024-05-16 00:00:00.000,4887,4677,1979,644,4701,5162,5006,4919,4550
GENERAL,2024-05-23 00:00:00.000,4853,4637,1885,479,5030,4942,4995,4971,4424
GENERAL,2024-05-30 00:00:00.000,5021,4638,1794,461,5404,5442,5217,4934,4804
GENERAL,2024-06-06 00:00:00.000,5061,4765,2062,1000,4955,5099,5448,4899,4712
GENERAL,2024-06-13 00:00:00.000,6019,6039,2518,1147,6175,6016,5587,5320,4987
GENERAL,2024-06-20 00:00:00.000,2700,1575,1585,977,5492,5586,5465,5510,4903
GENERAL,2024-06-27 00:00:00.000,5537,4551,2002,1843,5638,5610,5926,5841,4741
GENERAL,2024-07-04 00:00:00.000,4512,4439,2179,821,4429,4437,4335,4143,3970
GENERAL,2024-07-11 00:00:00.000,4951,4809,2415,796,4406,4887,5005,4808,4618
GENERAL,2024-07-18 00:00:00.000,5012,5215,2351,852,6291,5775,5757,5605,5087
GENERAL,2024-07-25 00:00:00.000,6219,5636,2247,853,7421,6984,7034,6401,5801
GENERAL,2024-08-01 00:00:00.000,5960,5833,2680,1166,6808,6844,6282,5924,5626
GENERAL,2024-08-08 00:00:00.000,5165,5476,2242,760,6059,6320,6094,5668,5141
GENERAL,2024-08-15 00:00:00.000,4716,5297,2198,796,5869,5739,5293,5030,4764
GENERAL,2024-08-22 00:00:00.000,4779,4630,1807,512,4977,4654,4372,4311,4165
GENERAL,2024-08-29 00:00:00.000,4900,4915,1986,732,5150,5140,5176,5072,4702
GENERAL,2024-09-05 00:00:00.000,5370,4995,2037,668,5278,5268,5318,5116,4877
GENERAL,2024-09-12 00:00:00.000,4782,4485,1946,737,4636,4626,4708,4364,3907
GENERAL,2024-09-19 00:00:00.000,4521,4426,1721,570,4633,4570,4559,4403,3855
GENERAL,2024-09-26 00:00:00.000,4306,4053,1674,643,4635,4525,4650,4304,3923
GENERAL,2024-10-03 00:00:00.000,4820,4484,1831,639,5198,5160,4988,4905,4303
